"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Agent Desk holds the call and resumes it","chromium","Wed Jul 09 16:24:25 PKT 2025","skipped","Wed Jul 09 16:24:25 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","14895","WebPhone places a call and sends DTMF “0”","chromium","Wed Jul 09 16:22:35 PKT 2025","passed","Wed Jul 09 16:22:50 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","1225","Agent ends call full view and skips wrap-up","chromium","Wed Jul 09 16:23:12 PKT 2025","passed","Wed Jul 09 16:23:13 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","17800","End call from Agent Desk by refreshing the page","chromium","Tue Jul 01 13:56:20 PKT 2025","passed","Tue Jul 01 13:56:38 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","4","Agent Desk UI elements in minimized and maximized view","chromium","Wed Jul 09 16:24:25 PKT 2025","skipped","Wed Jul 09 16:24:25 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","39","WebPhone is logged in","chromium","Wed Jul 09 16:22:35 PKT 2025","passed","Wed Jul 09 16:22:35 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","15226","WebPhone places another call and Agent Desk accepts it","chromium","Wed Jul 09 16:23:13 PKT 2025","passed","Wed Jul 09 16:23:29 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","17964","Agent Desk mutes and unmutes the call","chromium","Wed Jul 09 16:24:05 PKT 2025","failed","Wed Jul 09 16:24:23 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","33","Agent Desk is logged in & MRD READY","chromium","Wed Jul 09 16:22:10 PKT 2025","passed","Wed Jul 09 16:22:10 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","16004","End call from Customer(WebPhone)","chromium","Wed Jul 09 16:23:29 PKT 2025","passed","Wed Jul 09 16:23:45 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","20483","End call from agent desk using cross button","chromium","Wed Jul 09 16:23:45 PKT 2025","passed","Wed Jul 09 16:24:05 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","0","Agent Desk verifies participants list","chromium","Wed Jul 09 16:24:25 PKT 2025","skipped","Wed Jul 09 16:24:25 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","211","Agent Desk is back to MRD READY state","chromium","Wed Jul 09 16:23:13 PKT 2025","passed","Wed Jul 09 16:23:13 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","68","WebPhone is ready for next call","chromium","Wed Jul 09 16:23:13 PKT 2025","passed","Wed Jul 09 16:23:13 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","36","Agent Desk handles and ends call via compact/minimized call UI","chromium","Wed Jul 09 16:23:29 PKT 2025","skipped","Wed Jul 09 16:23:29 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
"","22153","Agent Desk accepts the ringing call","chromium","Wed Jul 09 16:22:50 PKT 2025","passed","Wed Jul 09 16:23:12 PKT 2025","Inbound CX-Voice flow TestSuite ","InboundCallHandling.spec.js","",""
